epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,124.774,0.61804,0.13836,0.1631,0.448,0.95996,0.9979,1,0.995,0.78279,0.9979,1,0.995,0.995,0.88454,0.07692,0.01285,0.35039,0.99864,0.0008714,0.0008714,0.0008714
59,126.254,0.70266,0.19954,0.15264,0.48726,0.9722,0.99788,1,0.995,0.77469,0.99788,1,0.995,0.995,0.89312,0.06988,0.00857,0.37769,1.00375,0.0008516,0.0008516,0.0008516
60,127.725,0.63678,0.14024,0.20139,0.43937,0.95808,0.99781,1,0.995,0.778,0.99781,1,0.995,0.99135,0.90901,0.07385,0.00764,0.37943,1.00631,0.0008318,0.0008318,0.0008318
61,129.214,0.64902,0.14532,0.15736,0.44198,0.95364,0.99766,1,0.995,0.76629,0.99766,1,0.995,0.99134,0.92456,0.07093,0.01344,0.37815,1.01393,0.000812,0.000812,0.000812
62,130.798,0.65302,0.13566,0.15193,0.47679,0.96939,0.99736,1,0.995,0.76094,0.99736,1,0.995,0.995,0.92766,0.07348,0.01603,0.37928,1.025,0.0007922,0.0007922,0.0007922
63,132.281,0.69281,0.09928,0.1573,0.45517,0.96489,0.99682,1,0.995,0.74905,0.99682,1,0.995,0.995,0.95613,0.06856,0.01086,0.38505,1.03439,0.0007724,0.0007724,0.0007724
64,133.672,0.64737,0.11855,0.16252,0.44438,0.96125,0.99638,1,0.995,0.76072,0.99638,1,0.995,0.995,0.93605,0.06045,0.00598,0.39707,1.02492,0.0007526,0.0007526,0.0007526
65,135.086,0.65893,0.14771,0.19585,0.41937,0.95354,0.99651,1,0.995,0.76831,0.99651,1,0.995,0.995,0.91613,0.05766,0.00457,0.38466,1.01704,0.0007328,0.0007328,0.0007328
66,136.511,0.64908,0.12343,0.16356,0.41718,0.95234,0.99696,1,0.995,0.78836,0.99696,1,0.995,0.995,0.92529,0.05227,0.00502,0.3641,1.02696,0.000713,0.000713,0.000713
67,137.916,0.67008,0.11644,0.17989,0.45712,0.96978,0.99716,1,0.995,0.78699,0.99716,1,0.995,0.995,0.9234,0.05648,0.00633,0.34177,1.02293,0.0006932,0.0006932,0.0006932
68,139.389,0.61051,0.13741,0.16716,0.45412,0.94353,0.99722,1,0.995,0.76793,0.99722,1,0.995,0.995,0.93514,0.06207,0.00865,0.3649,1.02231,0.0006734,0.0006734,0.0006734
69,140.798,0.67015,0.12377,0.17392,0.46007,0.97464,0.99732,1,0.995,0.76125,0.99732,1,0.995,0.995,0.92791,0.04807,0.00894,0.36569,1.01858,0.0006536,0.0006536,0.0006536
70,142.437,0.6178,0.11694,0.17639,0.43149,0.95188,0.99706,1,0.995,0.7604,0.99706,1,0.995,0.995,0.93305,0.05015,0.00967,0.3599,1.02263,0.0006338,0.0006338,0.0006338
71,144.156,0.61536,0.13702,0.17677,0.42466,0.94799,0.99686,1,0.995,0.75018,0.99686,1,0.995,0.995,0.95955,0.04979,0.01083,0.37193,1.03424,0.000614,0.000614,0.000614
72,145.765,0.64251,0.1441,0.18889,0.48621,0.97518,0.99667,1,0.995,0.75697,0.99667,1,0.995,0.995,0.95045,0.04543,0.01159,0.39197,1.02885,0.0005942,0.0005942,0.0005942
73,147.148,0.64187,0.21792,0.21089,0.46552,0.96086,0.99656,1,0.995,0.76497,0.99656,1,0.995,0.995,0.92451,0.04672,0.01206,0.39088,1.02499,0.0005744,0.0005744,0.0005744
74,148.578,0.61971,0.11302,0.18352,0.43725,0.94637,0.9966,1,0.995,0.76179,0.9966,1,0.995,0.995,0.90069,0.05018,0.01234,0.37757,1.0173,0.0005546,0.0005546,0.0005546
75,150.061,0.6185,0.12301,0.16746,0.43106,0.96068,0.9983,1,0.995,0.75965,0.9983,1,0.995,0.995,0.90415,0.0543,0.01253,0.37107,1.01061,0.0005348,0.0005348,0.0005348
76,151.523,0.60244,0.10462,0.16115,0.43476,0.94607,0.99662,1,0.995,0.7738,0.99662,1,0.995,0.995,0.90791,0.05114,0.01156,0.36835,1.01166,0.000515,0.000515,0.000515
77,153.109,0.60537,0.15424,0.17819,0.4051,0.94295,0.99661,1,0.995,0.7827,0.99661,1,0.995,0.995,0.89193,0.05101,0.00888,0.35602,1.01309,0.0004952,0.0004952,0.0004952
78,154.614,0.63205,0.14175,0.15733,0.45169,0.95048,0.99673,1,0.995,0.78874,0.99673,1,0.995,0.995,0.87685,0.05151,0.00805,0.35344,1.00691,0.0004754,0.0004754,0.0004754
79,156.281,0.57114,0.19768,0.18216,0.39819,0.92508,0.99698,1,0.995,0.78184,0.99698,1,0.995,0.995,0.88276,0.05296,0.00902,0.36168,1.00427,0.0004556,0.0004556,0.0004556
80,157.75,0.62121,0.13463,0.16755,0.44403,0.95722,0.99743,1,0.995,0.7912,0.99743,1,0.995,0.995,0.88144,0.05404,0.01064,0.3484,1.00351,0.0004358,0.0004358,0.0004358
81,159.25,0.58098,0.11127,0.17736,0.41525,0.92736,0.99761,1,0.995,0.78802,0.99761,1,0.995,0.995,0.89211,0.05517,0.01249,0.34277,1.00936,0.000416,0.000416,0.000416
82,160.716,0.59921,0.13476,0.14986,0.40773,0.93043,1,0.99662,0.995,0.78979,1,0.99662,0.995,0.995,0.88009,0.05817,0.01333,0.35284,1.00854,0.0003962,0.0003962,0.0003962
83,162.182,0.6101,0.10393,0.16004,0.39264,0.94271,0.99803,0.96667,0.99403,0.78922,1,0.99599,0.995,0.9949,0.87592,0.06029,0.01391,0.3462,1.00572,0.0003764,0.0003764,0.0003764
84,163.883,0.61167,0.12905,0.13831,0.39411,0.94233,0.99806,0.96667,0.99403,0.79552,1,0.99623,0.995,0.99231,0.89243,0.06174,0.01279,0.34995,1.00212,0.0003566,0.0003566,0.0003566
85,165.451,0.56556,0.10819,0.16766,0.37022,0.94881,0.99836,0.96667,0.99403,0.78368,1,0.99645,0.995,0.99226,0.89438,0.06333,0.01131,0.36321,1.00237,0.0003368,0.0003368,0.0003368
86,167.164,0.60247,0.12697,0.15479,0.39437,0.93718,1,0.99547,0.995,0.80109,1,0.99547,0.995,0.99215,0.88589,0.05595,0.01071,0.36567,0.99997,0.000317,0.000317,0.000317
87,168.836,0.57166,0.11548,0.15137,0.40503,0.91993,0.99855,0.96667,0.99403,0.78786,1,0.99583,0.995,0.9949,0.87967,0.04903,0.01009,0.35621,0.99906,0.0002972,0.0002972,0.0002972
88,170.505,0.61082,0.0988,0.16636,0.38253,0.93129,0.99858,0.96667,0.99403,0.80239,1,0.99653,0.995,0.9949,0.88556,0.04825,0.00998,0.35369,1.00186,0.0002774,0.0002774,0.0002774
89,172.297,0.56402,0.11612,0.1521,0.37468,0.94684,1,0.99553,0.995,0.79061,1,0.99553,0.995,0.995,0.89504,0.04642,0.0096,0.35303,1.00729,0.0002576,0.0002576,0.0002576
90,173.973,0.56795,0.09918,0.14531,0.39,0.91357,1,0.99691,0.995,0.78395,1,0.99691,0.995,0.995,0.90622,0.04421,0.00929,0.35401,1.01228,0.0002378,0.0002378,0.0002378
91,181.773,0.50202,0.05842,0.01587,0.3236,0.886,1,0.99767,0.995,0.78017,1,0.99767,0.995,0.995,0.9092,0.04065,0.00828,0.3574,1.01463,0.000218,0.000218,0.000218
92,186.517,0.47421,0.07694,0.0149,0.30534,0.88333,1,0.99812,0.995,0.78364,1,0.99812,0.995,0.995,0.90678,0.0423,0.00746,0.3517,1.01485,0.0001982,0.0001982,0.0001982
93,191.066,0.4691,0.06116,0.01839,0.29945,0.87832,1,0.99923,0.995,0.79011,1,0.99923,0.995,0.995,0.90508,0.0463,0.00696,0.35488,1.01615,0.0001784,0.0001784,0.0001784
94,194.162,0.47783,0.06628,0.01249,0.30606,0.85283,0.99895,1,0.995,0.7822,0.99895,1,0.995,0.995,0.90417,0.04629,0.00654,0.35034,1.01701,0.0001586,0.0001586,0.0001586
95,197.766,0.47103,0.06014,0.0141,0.31113,0.86141,0.99756,1,0.995,0.77702,0.99756,1,0.995,0.995,0.91039,0.04411,0.00594,0.34956,1.01849,0.0001388,0.0001388,0.0001388
96,199.935,0.44298,0.06915,0.01845,0.29438,0.84921,0.99717,1,0.995,0.77359,0.99717,1,0.995,0.995,0.91144,0.04244,0.00565,0.34584,1.02151,0.000119,0.000119,0.000119
97,201.914,0.45887,0.06997,0.01659,0.28782,0.86431,0.99727,1,0.995,0.77787,0.99727,1,0.995,0.995,0.91038,0.04125,0.00556,0.349,1.02153,9.92e-05,9.92e-05,9.92e-05
98,203.814,0.4336,0.05652,0.01348,0.28764,0.8374,0.99772,1,0.995,0.76791,0.99772,1,0.995,0.995,0.90705,0.04055,0.00562,0.34486,1.02032,7.94e-05,7.94e-05,7.94e-05
99,205.567,0.43908,0.05516,0.00953,0.29048,0.86053,0.99829,1,0.995,0.77044,0.99829,1,0.995,0.995,0.90277,0.03954,0.00565,0.34637,1.01906,5.96e-05,5.96e-05,5.96e-05
100,207.473,0.4514,0.05351,0.01294,0.28122,0.87436,0.99968,1,0.995,0.77015,0.99968,1,0.995,0.995,0.90142,0.03962,0.00569,0.34951,1.01759,3.98e-05,3.98e-05,3.98e-05
