epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,216.787,1.40021,3.31644,0.80663,0.35568,0.63697,0.57583,0.34753,1.40144,1.49191,0.81498,0.000477202,0.000477202,0.000477202
69,220.002,1.26848,3.23388,0.80812,0.39174,0.7475,0.59907,0.38003,1.25359,1.41793,0.80808,0.000473668,0.000473668,0.000473668
70,223.179,1.28474,3.57424,0.80839,0.43663,0.74934,0.62762,0.40768,1.23201,1.37076,0.80822,0.000470133,0.000470133,0.000470133
71,226.388,1.26436,3.13501,0.82505,0.43894,0.7784,0.62531,0.39924,1.22129,1.37751,0.80431,0.000466599,0.000466599,0.000466599
72,229.635,1.28939,3.10997,0.81021,0.40909,0.77023,0.6371,0.40852,1.27664,1.4469,0.80481,0.000463065,0.000463065,0.000463065
73,232.852,1.26797,3.07185,0.81317,0.5181,0.57073,0.66259,0.41886,1.24727,1.41326,0.80498,0.00045953,0.00045953,0.00045953
74,236.088,1.2311,2.94007,0.82269,0.50812,0.68231,0.66994,0.43615,1.24521,1.39603,0.80566,0.000455996,0.000455996,0.000455996
75,239.33,1.23992,3.09468,0.80238,0.45456,0.75689,0.65592,0.43102,1.1652,1.34388,0.80185,0.000452462,0.000452462,0.000452462
76,242.522,1.22295,3.09016,0.80519,0.42193,0.69193,0.65397,0.44169,1.18357,1.35179,0.80325,0.000448928,0.000448928,0.000448928
77,245.738,1.24848,2.98532,0.7941,0.4356,0.78173,0.66337,0.44191,1.17425,1.30284,0.80274,0.000445393,0.000445393,0.000445393
78,248.965,1.2402,3.07972,0.7965,0.46903,0.81013,0.68912,0.44794,1.19538,1.27817,0.81072,0.000441859,0.000441859,0.000441859
79,252.171,1.20556,2.82555,0.7983,0.46847,0.82612,0.68615,0.44959,1.19109,1.28327,0.80883,0.000438325,0.000438325,0.000438325
80,255.366,1.30484,2.91091,0.80849,0.45741,0.70993,0.70171,0.46236,1.20133,1.27325,0.8066,0.00043479,0.00043479,0.00043479
81,258.562,1.20701,2.94279,0.80165,0.55729,0.70323,0.70267,0.45503,1.20466,1.28031,0.80588,0.000431256,0.000431256,0.000431256
82,261.73,1.19652,2.78401,0.80061,0.52083,0.74224,0.70688,0.46235,1.16926,1.31143,0.80384,0.000427722,0.000427722,0.000427722
83,264.897,1.19699,2.77911,0.79224,0.6152,0.7145,0.73248,0.48085,1.19151,1.25857,0.80352,0.000424187,0.000424187,0.000424187
84,268.113,1.17197,2.64428,0.8045,0.64459,0.70335,0.75169,0.49537,1.17654,1.21476,0.80382,0.000420653,0.000420653,0.000420653
85,271.335,1.23502,2.90437,0.79621,0.58894,0.65196,0.73802,0.47416,1.19829,1.23567,0.80577,0.000417119,0.000417119,0.000417119
86,274.514,1.22589,2.63392,0.80137,0.68224,0.64781,0.74033,0.4817,1.17346,1.24981,0.80475,0.000413584,0.000413584,0.000413584
87,277.714,1.19437,2.78601,0.80518,0.71317,0.63642,0.76147,0.50534,1.17246,1.24325,0.80537,0.00041005,0.00041005,0.00041005
88,280.954,1.17535,2.74107,0.7997,0.69729,0.65268,0.78184,0.50416,1.2222,1.18019,0.80721,0.000406516,0.000406516,0.000406516
89,284.166,1.2562,2.72574,0.79485,0.58805,0.71803,0.79232,0.51329,1.20109,1.17199,0.80945,0.000402982,0.000402982,0.000402982
90,287.421,1.28094,2.66314,0.79602,0.61032,0.69018,0.76986,0.48955,1.20852,1.22077,0.80892,0.000399447,0.000399447,0.000399447
91,290.628,1.20718,2.60941,0.81724,0.61583,0.79773,0.76434,0.50326,1.17903,1.1558,0.80457,0.000395913,0.000395913,0.000395913
92,293.829,1.28422,2.87537,0.80241,0.64859,0.73606,0.76084,0.49477,1.20446,1.14113,0.80574,0.000392379,0.000392379,0.000392379
93,297.038,1.23483,2.49231,0.80709,0.66162,0.66577,0.75922,0.50118,1.19217,1.19903,0.80255,0.000388844,0.000388844,0.000388844
94,300.295,1.16645,2.62289,0.80572,0.61214,0.80541,0.76137,0.49253,1.20037,1.17867,0.80572,0.00038531,0.00038531,0.00038531
95,303.504,1.21461,2.54578,0.80622,0.68072,0.77079,0.7718,0.5109,1.17633,1.14403,0.80555,0.000381776,0.000381776,0.000381776
96,306.738,1.21079,2.42739,0.78977,0.63175,0.82382,0.77992,0.51444,1.18178,1.17604,0.80232,0.000378242,0.000378242,0.000378242
97,310.097,1.20736,2.65474,0.80813,0.61378,0.84398,0.7805,0.52356,1.18373,1.17617,0.80255,0.000374707,0.000374707,0.000374707
98,313.363,1.19856,2.65452,0.78729,0.77086,0.67566,0.8036,0.51469,1.1991,1.10736,0.80274,0.000371173,0.000371173,0.000371173
99,316.596,1.15873,2.42423,0.8021,0.73052,0.74656,0.80407,0.52337,1.19966,1.0831,0.80275,0.000367639,0.000367639,0.000367639
100,319.83,1.15482,2.38225,0.8072,0.69397,0.76522,0.80765,0.53228,1.19609,1.06265,0.80534,0.000364104,0.000364104,0.000364104
